"domain","X_worker_id","results"
"http://8tracks.com",29415754,"vendor"
"http://8tracks.com",41189648,"vendor"
"http://8tracks.com",36268643,"vendor"
"http://8tracks.com",28375885,"vendor"
"http://8tracks.com",39006856,"vendor"
"http://8tracks.com",32108646,"vendor"
"http://8tracks.com",41866146,"vendor"
"http://addons.mozilla.org",11003055,"vendor"
"http://addons.mozilla.org",35271549,"vendor"
"http://addons.mozilla.org",41166195,"no_profit"
"http://addons.mozilla.org",32108646,"vendor"
"http://addons.mozilla.org",39006856,"no_profit"
"http://addons.mozilla.org",33973110,"ne"
"http://akas.imdb.com",41166195,"no_profit"
"http://akas.imdb.com",29415754,"no_profit"
"http://akas.imdb.com",36946810,"cultural"
"http://akas.imdb.com",36268643,"vendor"
"http://akas.imdb.com",41866146,"no_profit"
"http://akas.imdb.com",25879918,"vendor"
"http://akas.imdb.com",33973110,"no"
"http://akas.imdb.com",32108646,"vendor"
"http://americanart.si.edu",29415754,"cultural"
"http://americanart.si.edu",28375885,"cultural"
"http://americanart.si.edu",40215755,"cultural"
"http://americanart.si.edu",42155896,"cultural"
"http://americanart.si.edu",37589406,"cultural"
"http://americanart.si.edu",42414846,"cultural"
"http://amturing.acm.org",29415754,"no_profit"
"http://amturing.acm.org",41189648,"political"
"http://amturing.acm.org",36268643,"cultural"
"http://amturing.acm.org",28375885,"cultural"
"http://amturing.acm.org",39006856,"political"
"http://amturing.acm.org",32108646,"no_profit"
"http://amturing.acm.org",41866146,"no_profit"
"http://archive.org",11003055,"vendor"
"http://archive.org",35271549,"no_profit"
"http://archive.org",28375885,"cultural"
"http://archive.org",42155896,"no_profit"
"http://archive.org",25879918,"no_profit"
"http://archive.org",37589406,"cultural"
"http://art.famsf.org",11003055,"cultural"
"http://art.famsf.org",35271549,"cultural"
"http://art.famsf.org",41166195,"cultural"
"http://art.famsf.org",32108646,"cultural"
"http://art.famsf.org",39006856,"cultural"
"http://art.famsf.org",33973110,"cultural"
"http://backuppc.cvs.sourceforge.net",29415754,"no_profit"
"http://backuppc.cvs.sourceforge.net",28375885,"vendor"
"http://backuppc.cvs.sourceforge.net",40215755,"no"
"http://backuppc.cvs.sourceforge.net",42155896,"no_profit"
"http://backuppc.cvs.sourceforge.net",37589406,"vendor"
"http://backuppc.cvs.sourceforge.net",25411600,"vendor"
"http://bbfc.co.uk",29415754,"cultural"
"http://bbfc.co.uk",28375885,"cultural"
"http://bbfc.co.uk",40215755,"no_profit"
"http://bbfc.co.uk",42155896,"no_profit"
"http://bbfc.co.uk",37589406,"cultural"
"http://bbfc.co.uk",35077385,"no"
"http://bbti.bodleian.ox.ac.uk",41166195,"no"
"http://bbti.bodleian.ox.ac.uk",29415754,"cultural"
"http://bbti.bodleian.ox.ac.uk",36946810,"cultural"
"http://bbti.bodleian.ox.ac.uk",36268643,"cultural"
"http://bbti.bodleian.ox.ac.uk",41866146,"cultural"
"http://bbti.bodleian.ox.ac.uk",25879918,"no_profit"
"http://bbti.bodleian.ox.ac.uk",33973110,"cultural"
"http://bbti.bodleian.ox.ac.uk",32108646,"cultural"
"http://blog.mathieui.net",29415754,"yes"
"http://blog.mathieui.net",28375885,"yes"
"http://blog.mathieui.net",40215755,"yes"
"http://blog.mathieui.net",42155896,"yes"
"http://blog.mathieui.net",37589406,"yes"
"http://blog.mathieui.net",35077385,"yes"
"http://blog.process-one.net",36268643,"no"
"http://blog.process-one.net",42023252,"no_profit"
"http://blog.process-one.net",41189648,"vendor"
"http://blog.process-one.net",41866146,"vendor"
"http://blog.process-one.net",40297287,"vendor"
"http://blog.torproject.org",11003055,"vendor"
"http://blog.torproject.org",35271549,"no_profit"
"http://blog.torproject.org",41166195,"no_profit"
"http://blog.torproject.org",32108646,"no"
"http://blog.torproject.org",39006856,"no"
"http://blog.torproject.org",33973110,"no"
"http://blogs.windows.com",11003055,"vendor"
"http://blogs.windows.com",35271549,"vendor"
"http://blogs.windows.com",41166195,"vendor"
"http://blogs.windows.com",32108646,"vendor"
"http://blogs.windows.com",39006856,"vendor"
"http://blogs.windows.com",33973110,"no"
"http://books.google.co.uk",29415754,"no_profit"
"http://books.google.co.uk",28375885,"vendor"
"http://books.google.co.uk",40215755,"vendor"
"http://books.google.co.uk",42155896,"vendor"
"http://books.google.co.uk",37589406,"nw"
"http://books.google.co.uk",42414846,"vendor"
"http://brightlightsfilm.com",41166195,"trad_news"
"http://brightlightsfilm.com",29415754,"non_trad_news"
"http://brightlightsfilm.com",36946810,"non_trad_news"
"http://brightlightsfilm.com",36268643,"non_trad_news"
"http://brightlightsfilm.com",41866146,"non_trad_news"
"http://brightlightsfilm.com",25879918,"non_trad_news"
"http://brightlightsfilm.com",33973110,"non_trad_news"
"http://brightlightsfilm.com",32108646,"non_trad_news"
"http://chem.nlm.nih.gov",41189648,"no"
"http://chem.nlm.nih.gov",40215755,"no"
"http://chem.nlm.nih.gov",42023252,"no"
"http://chem.nlm.nih.gov",42155896,"cultural"
"http://chem.nlm.nih.gov",33973110,"cultural"
"http://chibi.ubc.ca",29415754,"academia_uni"
"http://chibi.ubc.ca",41189648,"academia_uni"
"http://chibi.ubc.ca",36268643,"academia_uni"
"http://chibi.ubc.ca",28375885,"academia_uni"
"http://chibi.ubc.ca",39006856,"academia_uni"
"http://chibi.ubc.ca",32108646,"academia_uni"
"http://chibi.ubc.ca",41866146,"academia_uni"
"http://classify.oclc.org",41189648,"cultural"
"http://classify.oclc.org",40215755,"no_profit"
"http://classify.oclc.org",42023252,"ne"
"http://classify.oclc.org",42155896,"cultural"
"http://classify.oclc.org",33973110,"no_profit"
"http://collection.cooperhewitt.org",41189648,"cultural"
"http://collection.cooperhewitt.org",40215755,"cultural"
"http://collection.cooperhewitt.org",42023252,"cultural"
"http://collection.cooperhewitt.org",42155896,"cultural"
"http://collection.cooperhewitt.org",33973110,"cultural"
"http://collections.artsmia.org",36268643,"cultural"
"http://collections.artsmia.org",42023252,"cultural"
"http://collections.artsmia.org",41189648,"cultural"
"http://collections.artsmia.org",41866146,"cultural"
"http://collections.artsmia.org",40297287,"cultural"
"http://collections.britishart.yale.edu",29415754,"cultural"
"http://collections.britishart.yale.edu",41189648,"cultural"
"http://collections.britishart.yale.edu",36268643,"no"
"http://collections.britishart.yale.edu",28375885,"cultural"
"http://collections.britishart.yale.edu",39006856,"cultural"
"http://collections.britishart.yale.edu",32108646,"cultural"
"http://collections.britishart.yale.edu",41866146,"cultural"
"http://collections.lacma.org",11003055,"cultural"
"http://collections.lacma.org",35271549,"vendor"
"http://collections.lacma.org",41166195,"cultural"
"http://collections.lacma.org",42023252,"cultural"
"http://collections.lacma.org",40215755,"cultural"
"http://commons.wikimedia.org",36268643,"vendor"
"http://commons.wikimedia.org",42023252,"no"
"http://commons.wikimedia.org",41189648,"cultural"
"http://commons.wikimedia.org",41866146,"no_profit"
"http://commons.wikimedia.org",40297287,"cultural"
"http://daccess-ods.un.org",36268643,"yes"
"http://daccess-ods.un.org",42023252,"ne"
"http://daccess-ods.un.org",41189648,"yes"
"http://daccess-ods.un.org",41866146,"yes"
"http://daccess-ods.un.org",40297287,"yes"
"http://data.ordnancesurvey.co.uk",36268643,"no_profit"
"http://data.ordnancesurvey.co.uk",42023252,"no_profit"
"http://data.ordnancesurvey.co.uk",41189648,"cultural"
"http://data.ordnancesurvey.co.uk",41866146,"vendor"
"http://data.ordnancesurvey.co.uk",40297287,"cultural"
"http://directory.fsf.org",11003055,"no_profit"
"http://directory.fsf.org",35271549,"no_profit"
"http://directory.fsf.org",41166195,"no_profit"
"http://directory.fsf.org",42023252,"no_profit"
"http://directory.fsf.org",40215755,"no_profit"
"http://electronicintifada.net",11003055,"non_trad_news"
"http://electronicintifada.net",35271549,"non_trad_news"
"http://electronicintifada.net",41166195,"trad_news"
"http://electronicintifada.net",42023252,"trad_news"
"http://electronicintifada.net",40215755,"trad_news"
"http://en.mediamass.net",11003055,"trad_news"
"http://en.mediamass.net",35271549,"non_trad_news"
"http://en.mediamass.net",41166195,"trad_news"
"http://en.mediamass.net",42023252,"trad_news"
"http://en.mediamass.net",40215755,"non_trad_news"
"http://en.wikisource.org",11003055,"no_profit"
"http://en.wikisource.org",35271549,"no_profit"
"http://en.wikisource.org",28375885,"political"
"http://en.wikisource.org",42155896,"no_profit"
"http://en.wikisource.org",25879918,"cultural"
"http://en.wikisource.org",37589406,"cultural"
"http://eprints.lancs.ac.uk",41166195,"academia_uni"
"http://eprints.lancs.ac.uk",29415754,"academia_uni"
"http://eprints.lancs.ac.uk",36946810,"academia_uni"
"http://eprints.lancs.ac.uk",36268643,"academia_uni"
"http://eprints.lancs.ac.uk",41866146,"academia_uni"
"http://eprints.lancs.ac.uk",25879918,"academia_uni"
"http://eprints.lancs.ac.uk",33973110,"academia_uni"
"http://eprints.lancs.ac.uk",32108646,"academia_uni"
"http://equipboard.com",11003055,"no_profit"
"http://equipboard.com",35271549,"no_profit"
"http://equipboard.com",28375885,"no"
"http://equipboard.com",42155896,"no_profit"
"http://equipboard.com",25879918,"no_profit"
"http://equipboard.com",37589406,"cultural"
"http://espn.go.com",29415754,"trad_news"
"http://espn.go.com",41189648,"trad_news"
"http://espn.go.com",36268643,"non_trad_news"
"http://espn.go.com",28375885,"trad_news"
"http://espn.go.com",39006856,"trad_news"
"http://espn.go.com",32108646,"non_trad_news"
"http://espn.go.com",41866146,"trad_news"
"http://europeana.eu",15439343,"cultural"
"http://europeana.eu",37589406,"ne"
"http://europeana.eu",39073124,"vendor"
"http://europeana.eu",36946810,"cultural"
"http://europeana.eu",40297287,"cultural"
"http://factfinder.census.gov",29415754,"yes"
"http://factfinder.census.gov",41189648,"yes"
"http://factfinder.census.gov",36268643,"yes"
"http://factfinder.census.gov",28375885,"yes"
"http://factfinder.census.gov",39006856,"yes"
"http://factfinder.census.gov",32108646,"no"
"http://factfinder.census.gov",41866146,"yes"
"http://fdrmx.com",41189648,"non_trad_news"
"http://fdrmx.com",40215755,"ne"
"http://fdrmx.com",42023252,"trad_news"
"http://fdrmx.com",42155896,"non_trad_news"
"http://fdrmx.com",33973110,"non_trad_news"
"http://fedoraproject.org",15439343,"no_profit"
"http://fedoraproject.org",37589406,"ne"
"http://fedoraproject.org",39073124,"vendor"
"http://fedoraproject.org",36946810,"vendor"
"http://fedoraproject.org",40297287,"no_profit"
"http://feed.snapdo.com",11003055,"vendor"
"http://feed.snapdo.com",35271549,"vendor"
"http://feed.snapdo.com",28375885,"vendor"
"http://feed.snapdo.com",42155896,"vendor"
"http://feed.snapdo.com",25879918,"no_profit"
"http://feed.snapdo.com",37589406,"nw"
"http://ffilms.org",11003055,"no_profit"
"http://ffilms.org",35271549,"no_profit"
"http://ffilms.org",41166195,"no_profit"
"http://ffilms.org",42023252,"no_profit"
"http://ffilms.org",40215755,"no_profit"
"http://fie.org",11003055,"no_profit"
"http://fie.org",35271549,"political"
"http://fie.org",41166195,"no_profit"
"http://fie.org",42023252,"no_profit"
"http://fie.org",40215755,"cultural"
"http://figshare.com",41189648,"academia_uni"
"http://figshare.com",40215755,"academia_pub"
"http://figshare.com",42023252,"nw"
"http://figshare.com",42155896,"no"
"http://figshare.com",33973110,"academia_pub"
"http://firstcycling.com",36268643,"trad_news"
"http://firstcycling.com",42023252,"trad_news"
"http://firstcycling.com",41189648,"non_trad_news"
"http://firstcycling.com",41866146,"no"
"http://firstcycling.com",40297287,"no"
"http://flymotorsich.com",11003055,"ne"
"http://flymotorsich.com",35271549,"vendor"
"http://flymotorsich.com",41166195,"vendor"
"http://flymotorsich.com",32108646,"vendor"
"http://flymotorsich.com",39006856,"ne"
"http://flymotorsich.com",33973110,"ne"
"http://fmg.ac",41189648,"cultural"
"http://fmg.ac",40215755,"cultural"
"http://fmg.ac",42023252,"cultural"
"http://fmg.ac",42155896,"vendor"
"http://fmg.ac",33973110,"political"
"http://forum.mql4.com",41166195,"vendor"
"http://forum.mql4.com",29415754,"no_profit"
"http://forum.mql4.com",36946810,"vendor"
"http://forum.mql4.com",36268643,"no"
"http://forum.mql4.com",41866146,"no_profit"
"http://forum.mql4.com",25879918,"no_profit"
"http://forum.mql4.com",33973110,"no"
"http://forum.mql4.com",32108646,"vendor"
"http://forums.comodo.com",11003055,"no_profit"
"http://forums.comodo.com",35271549,"vendor"
"http://forums.comodo.com",41166195,"vendor"
"http://forums.comodo.com",32108646,"vendor"
"http://forums.comodo.com",39006856,"no"
"http://forums.comodo.com",33973110,"no"
"http://fossilworks.org",11003055,"academia_uni"
"http://fossilworks.org",35271549,"academia_uni"
"http://fossilworks.org",28375885,"academia_other"
"http://fossilworks.org",42155896,"academia_other"
"http://fossilworks.org",25879918,"academia_uni"
"http://fossilworks.org",37589406,"academia_pub"
"http://freemind.sourceforge.net",41166195,"no_profit"
"http://freemind.sourceforge.net",29415754,"no"
"http://freemind.sourceforge.net",36946810,"nw"
"http://freemind.sourceforge.net",36268643,"no"
"http://freemind.sourceforge.net",41866146,"no_profit"
"http://freemind.sourceforge.net",25879918,"cultural"
"http://freemind.sourceforge.net",33973110,"vendor"
"http://freemind.sourceforge.net",32108646,"no_profit"
"http://ftp.debian-ports.org",29415754,"no"
"http://ftp.debian-ports.org",28375885,"yes"
"http://ftp.debian-ports.org",40215755,"yes"
"http://ftp.debian-ports.org",42155896,"no"
"http://ftp.debian-ports.org",37589406,"nw"
"http://ftp.debian-ports.org",32073845,"yes"
"http://genealogy.az.gov",11003055,"yes"
"http://genealogy.az.gov",35271549,"yes"
"http://genealogy.az.gov",28375885,"yes"
"http://genealogy.az.gov",42155896,"yes"
"http://genealogy.az.gov",25879918,"yes"
"http://genealogy.az.gov",37589406,"yes"
"http://geonames.usgs.gov",36113457,"yes"
"http://geonames.usgs.gov",39920459,"yes"
"http://geonames.usgs.gov",35377304,"yes"
"http://geonames.usgs.gov",37869484,"yes"
"http://geonames.usgs.gov",40245758,"yes"
"http://git.gnome.org",42402413,"no_profit"
"http://git.gnome.org",35644614,"no"
"http://git.gnome.org",34550698,"no"
"http://git.gnome.org",42472203,"no_profit"
"http://git.gnome.org",35597807,"no_profit"
"http://git.gnome.org",32417589,"no_profit"
"http://git.gnome.org",33805118,"vendor"
"http://git.kernel.org",42414846,"no_profit"
"http://git.kernel.org",25864227,"no"
"http://git.kernel.org",40338958,"vendor"
"http://git.kernel.org",41142695,"no_profit"
"http://git.kernel.org",32073845,"no_profit"
"http://github.com",33731955,"no_profit"
"http://github.com",42472271,"vendor"
"http://github.com",42471779,"no_profit"
"http://github.com",34098122,"nw"
"http://github.com",36922135,"nw"
"http://groups.google.com",31001292,"no_profit"
"http://groups.google.com",39554633,"no_profit"
"http://groups.google.com",39538622,"vendor"
"http://groups.google.com",41110198,"vendor"
"http://groups.google.com",34630521,"nw"
"http://groups.google.com",39616594,"no"
"http://groups.google.com",40245758,"nw"
"http://hansard.millbanksystems.com",31001292,"no_profit"
"http://hansard.millbanksystems.com",39554633,"no_profit"
"http://hansard.millbanksystems.com",39538622,"cultural"
"http://hansard.millbanksystems.com",41110198,"political"
"http://hansard.millbanksystems.com",34630521,"no"
"http://hansard.millbanksystems.com",39616594,"cultural"
"http://hansard.millbanksystems.com",40245758,"political"
"http://hg.mozilla.org",27985936,"no_profit"
"http://hg.mozilla.org",42405769,"no_profit"
"http://hg.mozilla.org",42414846,"no_profit"
"http://hg.mozilla.org",39073124,"no"
"http://hg.mozilla.org",40338958,"vendor"
"http://iba-world.com",40640600,"no_profit"
"http://iba-world.com",35597807,"cultural"
"http://iba-world.com",38164483,"nw"
"http://iba-world.com",33731955,"nw"
"http://iba-world.com",34391904,"political"
"http://id.loc.gov",34417954,"cultural"
"http://id.loc.gov",38511900,"no_profit"
"http://id.loc.gov",35644614,"cultural"
"http://id.loc.gov",34550698,"cultural"
"http://id.loc.gov",35077385,"cultural"
"http://id.loc.gov",38164483,"cultural"
"http://id.loc.gov",42472222,"no_profit"
"http://identifiers.org",11021010,"no"
"http://identifiers.org",39332461,"academia_uni"
"http://identifiers.org",41652222,"academia_uni"
"http://identifiers.org",34630521,"academia_uni"
"http://identifiers.org",35673676,"academia_uni"
"http://identifiers.org",40323250,"academia_uni"
"http://iditarod.com",35597778,"no_profit"
"http://iditarod.com",42402413,"cultural"
"http://iditarod.com",35644614,"no"
"http://iditarod.com",35597807,"cultural"
"http://iditarod.com",33805118,"no"
"http://independentlibraries.co.uk",33732609,"no"
"http://independentlibraries.co.uk",35679318,"no"
"http://independentlibraries.co.uk",38040317,"no_profit"
"http://independentlibraries.co.uk",35597774,"cultural"
"http://independentlibraries.co.uk",33573033,"cultural"
"http://instagram.com",34417954,"nw"
"http://instagram.com",38511900,"nw"
"http://instagram.com",35077385,"no_profit"
"http://instagram.com",34098122,"nw"
"http://instagram.com",36922135,"nw"
"http://instagram.com",42472222,"no"
"http://itunes.apple.com",42414846,"vendor"
"http://itunes.apple.com",25864227,"vendor"
"http://itunes.apple.com",40338958,"vendor"
"http://itunes.apple.com",41142695,"vendor"
"http://itunes.apple.com",36531316,"vendor"
"http://killiefc.com",40640602,"no"
"http://killiefc.com",40640600,"no_profit"
"http://killiefc.com",32717039,"no_profit"
"http://killiefc.com",38164483,"no_profit"
"http://killiefc.com",38040405,"cultural"
"http://lawandorder.wikia.com",35597784,"cultural"
"http://lawandorder.wikia.com",38511900,"no"
"http://lawandorder.wikia.com",42472271,"no_profit"
"http://lawandorder.wikia.com",38040405,"political"
"http://lawandorder.wikia.com",35077324,"political"
"http://library.la84.org",40640600,"cultural"
"http://library.la84.org",35597807,"nw"
"http://library.la84.org",38164483,"nw"
"http://library.la84.org",33731955,"nw"
"http://library.la84.org",42471779,"nw"
"http://lists.alioth.debian.org",36621052,"no"
"http://lists.alioth.debian.org",11021010,"no"
"http://lists.alioth.debian.org",30055681,"no"
"http://lists.alioth.debian.org",38427455,"no_profit"
"http://lists.alioth.debian.org",40323250,"vendor"
"http://lists.freebsd.org",32777849,"nw"
"http://lists.freebsd.org",29971516,"no_profit"
"http://lists.freebsd.org",36621052,"no"
"http://lists.freebsd.org",21353389,"no_profit"
"http://lists.freebsd.org",36820845,"no_profit"
"http://lists.freebsd.org",11021010,"no"
"http://lists.freebsd.org",42372714,"no"
"http://lists.gnu.org",21353389,"no_profit"
"http://lists.gnu.org",40950428,"no_profit"
"http://lists.gnu.org",38012668,"no_profit"
"http://lists.gnu.org",42565441,"vendor"
"http://lists.gnu.org",38427455,"no_profit"
"http://lists.gnu.org",30055681,"vendor"
"http://lists.netfilter.org",40640600,"no_profit"
"http://lists.netfilter.org",38164483,"nw"
"http://lists.netfilter.org",35597807,"no_profit"
"http://lists.netfilter.org",32717039,"no_profit"
"http://lists.netfilter.org",42472271,"no"
"http://lists.nongnu.org",40640600,"no_profit"
"http://lists.nongnu.org",38164483,"nw"
"http://lists.nongnu.org",35597807,"ne"
"http://lists.nongnu.org",32717039,"no_profit"
"http://lists.nongnu.org",33731955,"no_profit"
"http://lists.torproject.org",21353389,"no"
"http://lists.torproject.org",40950428,"no_profit"
"http://lists.torproject.org",38012668,"no_profit"
"http://lists.torproject.org",38427455,"no_profit"
"http://lists.torproject.org",36946810,"vendor"
"http://lists.torproject.org",36621052,"no"
"http://m.timesofindia.com",15439343,"non_trad_news"
"http://m.timesofindia.com",11051473,"trad_news"
"http://m.timesofindia.com",33827939,"trad_news"
"http://m.timesofindia.com",36596402,"non_trad_news"
"http://m.timesofindia.com",40297287,"non_trad_news"
"http://m.timesofindia.com",42259233,"non_trad_news"
"http://mail-archives.apache.org",21353389,"no_profit"
"http://mail-archives.apache.org",40950428,"vendor"
"http://mail-archives.apache.org",38012668,"no_profit"
"http://mail-archives.apache.org",42565441,"cultural"
"http://mail-archives.apache.org",38427455,"no_profit"
"http://mail-archives.apache.org",30055681,"nw"
"http://man.9front.org",33732609,"yes"
"http://man.9front.org",35679318,"yes"
"http://man.9front.org",38040154,"no"
"http://man.9front.org",38040317,"no"
"http://man.9front.org",35077410,"no"
"http://marvel.com",36596402,"no"
"http://marvel.com",33827939,"non_trad_news"
"http://marvel.com",27985936,"no"
"http://marvel.com",42259233,"trad_news"
"http://marvel.com",42405769,"trad_news"
"http://marvel.com",15925358,"trad_news"
"http://moma.org",35644614,"cultural"
"http://moma.org",32717039,"no_profit"
"http://moma.org",33803814,"cultural"
"http://moma.org",42471886,"cultural"
"http://moma.org",38040405,"cultural"
"http://movie-locations.com",35597784,"no"
"http://movie-locations.com",34098122,"vendor"
"http://movie-locations.com",36922135,"vendor"
"http://movie-locations.com",35597775,"no"
"http://movie-locations.com",33803814,"no"
"http://movieweb.com",27985936,"non_trad_news"
"http://movieweb.com",42405769,"trad_news"
"http://movieweb.com",42414846,"trad_news"
"http://movieweb.com",39073124,"trad_news"
"http://movieweb.com",40338958,"non_trad_news"
"http://mpse.org",35597778,"no_profit"
"http://mpse.org",42402413,"cultural"
"http://mpse.org",42530712,"no_profit"
"http://mpse.org",35597807,"cultural"
"http://mpse.org",33805118,"cultural"
"http://new.liveauctioneers.com",36621052,"no"
"http://new.liveauctioneers.com",11021010,"no"
"http://new.liveauctioneers.com",30055681,"vendor"
"http://new.liveauctioneers.com",38427455,"vendor"
"http://new.liveauctioneers.com",40323250,"cultural"
"http://olat.org",35597778,"no"
"http://olat.org",35597774,"no"
"http://olat.org",34391904,"no"
"http://olat.org",42530712,"academia_other"
"http://olat.org",40640602,"no"
"http://oneprocycling.com",42414846,"vendor"
"http://oneprocycling.com",25864227,"no"
"http://oneprocycling.com",40338958,"no_profit"
"http://oneprocycling.com",41142695,"no_profit"
"http://oneprocycling.com",36531316,"vendor"
"http://online.wsj.com",11021010,"no"
"http://online.wsj.com",39332461,"trad_news"
"http://online.wsj.com",41652222,"trad_news"
"http://online.wsj.com",34630521,"trad_news"
"http://online.wsj.com",35673676,"trad_news"
"http://online.wsj.com",40323250,"trad_news"
"http://oxfordindex.oup.com",21353389,"academia_pub"
"http://oxfordindex.oup.com",40950428,"academia_pub"
"http://oxfordindex.oup.com",38012668,"academia_other"
"http://oxfordindex.oup.com",38427455,"academia_pub"
"http://oxfordindex.oup.com",36946810,"academia_uni"
"http://oxfordindex.oup.com",36621052,"academia_uni"
"http://peerj.com",38012668,"academia_pub"
"http://peerj.com",39332461,"academia_pub"
"http://peerj.com",29971516,"academia_uni"
"http://peerj.com",42565441,"academia_pub"
"http://peerj.com",37869484,"academia_pub"
"http://phoronix.com",25411600,"vendor"
"http://phoronix.com",6355877,"vendor"
"http://phoronix.com",37660122,"no"
"http://phoronix.com",41983503,"no_profit"
"http://phoronix.com",38040154,"no"
"http://phoronix.com",32774592,"no"
"http://phoronix.com",33573033,"no"
"http://planetarynames.wr.usgs.gov",33732609,"academia_pub"
"http://planetarynames.wr.usgs.gov",32774592,"academia_uni"
"http://planetarynames.wr.usgs.gov",35679318,"academia_uni"
"http://planetarynames.wr.usgs.gov",39731476,"academia_uni"
"http://planetarynames.wr.usgs.gov",35077410,"academia_pub"
"http://planetarynames.wr.usgs.gov",35597778,"academia_uni"
"http://pubchem.ncbi.nlm.nih.gov",21353389,"academia_pub"
"http://pubchem.ncbi.nlm.nih.gov",40950428,"academia_pub"
"http://pubchem.ncbi.nlm.nih.gov",38012668,"academia_other"
"http://pubchem.ncbi.nlm.nih.gov",42565441,"academia_uni"
"http://pubchem.ncbi.nlm.nih.gov",38427455,"academia_uni"
"http://pubchem.ncbi.nlm.nih.gov",30055681,"no"
"http://puppet.com",35679318,"no_profit"
"http://puppet.com",38040154,"no_profit"
"http://puppet.com",38040317,"vendor"
"http://puppet.com",35077410,"vendor"
"http://puppet.com",42472222,"no_profit"
"http://ratings.fide.com",40640602,"no"
"http://ratings.fide.com",40640600,"no_profit"
"http://ratings.fide.com",42471936,"no"
"http://ratings.fide.com",42402413,"vendor"
"http://ratings.fide.com",42472203,"cultural"
"http://ratings.fide.com",32717039,"no_profit"
"http://runeberg.org",38012668,"ne"
"http://runeberg.org",39332461,"cultural"
"http://runeberg.org",29971516,"ne"
"http://runeberg.org",42565441,"cultural"
"http://runeberg.org",37869484,"cultural"
"http://sites.asiasociety.org",34098122,"non_trad_news"
"http://sites.asiasociety.org",36922135,"non_trad_news"
"http://sites.asiasociety.org",42472222,"trad_news"
"http://sites.asiasociety.org",35597775,"trad_news"
"http://sites.asiasociety.org",33803814,"non_trad_news"
"http://sourceforge.net",11021010,"no"
"http://sourceforge.net",39332461,"vendor"
"http://sourceforge.net",41652222,"political"
"http://sourceforge.net",34630521,"no_profit"
"http://sourceforge.net",35673676,"no"
"http://sourceforge.net",40323250,"vendor"
"http://spamassassin.apache.org",36596402,"vendor"
"http://spamassassin.apache.org",34436396,"no_profit"
"http://spamassassin.apache.org",27985936,"no_profit"
"http://spamassassin.apache.org",42259233,"vendor"
"http://spamassassin.apache.org",42405769,"no_profit"
"http://spamassassin.apache.org",39073124,"vendor"
"http://speedskatingstats.com",36596402,"no_profit"
"http://speedskatingstats.com",33827939,"no"
"http://speedskatingstats.com",27985936,"no"
"http://speedskatingstats.com",42259233,"vendor"
"http://speedskatingstats.com",42405769,"cultural"
"http://speedskatingstats.com",15925358,"no"
"http://splitsider.com",35597778,"non_trad_news"
"http://splitsider.com",42402413,"non_trad_news"
"http://splitsider.com",42530712,"trad_news"
"http://splitsider.com",35597807,"non_trad_news"
